,日期,locationName,當日最高溫度(°C),當日最低溫度(°C),當日平均溫度(°C)
210,2020-10-14,"BANQIAO,板橋",26.9,24.1,25.2
211,2020-10-15,"BANQIAO,板橋",26.5,24.5,25.4
212,2020-10-16,"BANQIAO,板橋",29.1,23.5,25.3
213,2020-10-17,"BANQIAO,板橋",24.4,22.3,23.4
214,2020-10-18,"BANQIAO,板橋",24.4,21.2,22.6
215,2020-10-19,"BANQIAO,板橋",23.4,21.5,22.6
216,2020-10-20,"BANQIAO,板橋",25.8,22.4,24.0
217,2020-10-21,"BANQIAO,板橋",28.3,23.2,25.4
218,2020-10-22,"BANQIAO,板橋",23.4,19.0,21.6
219,2020-10-23,"BANQIAO,板橋",21.1,18.5,20.1
220,2020-10-24,"BANQIAO,板橋",24.6,20.8,22.1
221,2020-10-25,"BANQIAO,板橋",27.8,21.9,23.9
222,2020-10-26,"BANQIAO,板橋",29.4,22.9,25.3
223,2020-10-27,"BANQIAO,板橋",29.3,23.7,25.8
224,2020-10-28,"BANQIAO,板橋",28.3,24.4,25.6
225,2020-10-29,"BANQIAO,板橋",25.5,23.5,24.2
226,2020-10-30,"BANQIAO,板橋",25.3,21.3,22.8
227,2020-10-31,"BANQIAO,板橋",26.6,20.1,23.1
228,2020-11-01,"BANQIAO,板橋",30.0,22.1,25.0
229,2020-11-02,"BANQIAO,板橋",27.6,22.6,24.3
230,2020-11-03,"BANQIAO,板橋",25.1,18.9,21.1
231,2020-11-04,"BANQIAO,板橋",24.6,18.8,21.4
232,2020-11-05,"BANQIAO,板橋",25.5,20.7,22.7
233,2020-11-06,"BANQIAO,板橋",30.1,22.8,27.0
234,2020-11-07,"BANQIAO,板橋",31.8,21.2,26.3
235,2020-11-08,"BANQIAO,板橋",21.4,19.5,20.3
236,2020-11-09,"BANQIAO,板橋",21.1,19.7,20.5
237,2020-11-10,"BANQIAO,板橋",21.3,18.8,20.2
238,2020-11-11,"BANQIAO,板橋",24.3,20.7,22.1
239,2020-11-12,"BANQIAO,板橋",24.3,21.2,22.2
240,2020-11-13,"BANQIAO,板橋",22.6,21.2,21.8
241,2020-11-14,"BANQIAO,板橋",22.8,20.7,21.9
242,2020-11-15,"BANQIAO,板橋",29.0,21.7,24.9
243,2020-11-16,"BANQIAO,板橋",28.8,22.7,25.2
244,2020-11-17,"BANQIAO,板橋",29.7,23.7,25.9
245,2020-11-18,"BANQIAO,板橋",31.9,20.7,25.1
246,2020-11-19,"BANQIAO,板橋",32.0,21.3,25.8
247,2020-11-20,"BANQIAO,板橋",29.0,22.6,24.9
248,2020-11-21,"BANQIAO,板橋",26.9,22.6,24.0
249,2020-11-22,"BANQIAO,板橋",29.6,20.9,23.8
250,2020-11-23,"BANQIAO,板橋",23.8,21.1,21.9
251,2020-11-24,"BANQIAO,板橋",24.9,21.6,22.6
252,2020-11-25,"BANQIAO,板橋",28.5,22.1,24.6
253,2020-11-26,"BANQIAO,板橋",29.6,23.3,25.5
254,2020-11-27,"BANQIAO,板橋",24.1,19.4,21.7
255,2020-11-28,"BANQIAO,板橋",22.1,18.6,20.0
256,2020-11-29,"BANQIAO,板橋",20.5,18.0,18.9
257,2020-11-30,"BANQIAO,板橋",20.3,18.2,18.8
258,2020-12-01,"BANQIAO,板橋",19.9,18.0,18.8
259,2020-12-02,"BANQIAO,板橋",21.4,18.0,19.2
260,2020-12-03,"BANQIAO,板橋",18.3,15.6,16.6
261,2020-12-04,"BANQIAO,板橋",18.1,15.7,16.9
262,2020-12-05,"BANQIAO,板橋",19.4,16.3,17.9
263,2020-12-06,"BANQIAO,板橋",21.4,18.1,19.6
264,2020-12-07,"BANQIAO,板橋",22.2,19.6,20.4
265,2020-12-08,"BANQIAO,板橋",20.3,17.7,18.7
266,2020-12-09,"BANQIAO,板橋",20.9,17.3,19.3
267,2020-12-10,"BANQIAO,板橋",23.3,19.9,21.1
268,2020-12-11,"BANQIAO,板橋",21.7,19.8,20.4
269,2020-12-12,"BANQIAO,板橋",22.3,18.3,19.6
270,2020-12-13,"BANQIAO,板橋",24.5,17.3,20.1
271,2020-12-14,"BANQIAO,板橋",20.3,15.7,17.8
272,2020-12-15,"BANQIAO,板橋",16.6,15.1,15.8
273,2020-12-16,"BANQIAO,板橋",16.5,15.0,15.6
274,2020-12-17,"BANQIAO,板橋",19.6,14.7,16.9
275,2020-12-18,"BANQIAO,板橋",21.6,15.4,18.6
276,2020-12-19,"BANQIAO,板橋",18.7,15.4,16.7
277,2020-12-20,"BANQIAO,板橋",17.7,15.6,16.2
278,2020-12-21,"BANQIAO,板橋",17.1,14.7,15.9
279,2020-12-22,"BANQIAO,板橋",22.2,16.3,18.9
280,2020-12-23,"BANQIAO,板橋",21.0,18.3,19.2
281,2020-12-24,"BANQIAO,板橋",19.2,17.0,17.9
282,2020-12-25,"BANQIAO,板橋",18.1,16.3,17.3
283,2020-12-26,"BANQIAO,板橋",24.6,16.1,19.3
284,2020-12-27,"BANQIAO,板橋",23.1,16.5,19.2
285,2020-12-28,"BANQIAO,板橋",22.0,17.6,20.1
286,2020-12-29,"BANQIAO,板橋",25.8,18.5,20.9
287,2020-12-30,"BANQIAO,板橋",19.8,10.1,12.0
288,2020-12-31,"BANQIAO,板橋",10.9,7.5,9.5
289,2021-01-01,"BANQIAO,板橋",16.1,10.7,13.3
290,2021-01-02,"BANQIAO,板橋",15.8,12.8,14.4
291,2021-01-03,"BANQIAO,板橋",23.1,14.7,17.9
292,2021-01-04,"BANQIAO,板橋",22.3,16.0,18.2
293,2021-01-05,"BANQIAO,板橋",18.1,14.9,16.7
294,2021-01-06,"BANQIAO,板橋",16.6,14.2,15.1
295,2021-01-07,"BANQIAO,板橋",14.2,9.4,11.9
296,2021-01-08,"BANQIAO,板橋",9.4,6.8,7.6
297,2021-01-09,"BANQIAO,板橋",10.3,8.0,9.1
298,2021-01-10,"BANQIAO,板橋",15.8,8.8,12.8
299,2021-01-11,"BANQIAO,板橋",12.7,8.8,11.1
300,2021-01-12,"BANQIAO,板橋",14.2,8.5,10.0
301,2021-01-13,"BANQIAO,板橋",21.0,6.8,13.3
302,2021-01-14,"BANQIAO,板橋",22.6,7.7,14.7
303,2021-01-15,"BANQIAO,板橋",24.4,9.7,15.2
304,2021-01-16,"BANQIAO,板橋",23.0,11.9,17.2
305,2021-01-17,"BANQIAO,板橋",14.6,12.5,13.5
306,2021-01-18,"BANQIAO,板橋",15.9,12.4,14.2
307,2021-01-19,"BANQIAO,板橋",21.1,13.9,17.2
308,2021-01-20,"BANQIAO,板橋",24.9,17.4,20.9
309,2021-01-21,"BANQIAO,板橋",30.3,16.9,22.0
310,2021-01-22,"BANQIAO,板橋",26.2,20.3,22.5
311,2021-01-23,"BANQIAO,板橋",22.5,18.8,19.9
312,2021-01-24,"BANQIAO,板橋",20.3,16.7,17.8
313,2021-01-25,"BANQIAO,板橋",23.1,15.2,18.6
314,2021-01-26,"BANQIAO,板橋",23.7,13.1,18.3
315,2021-01-27,"BANQIAO,板橋",20.2,17.3,18.4
316,2021-01-28,"BANQIAO,板橋",18.3,13.9,15.9
317,2021-01-29,"BANQIAO,板橋",17.6,14.2,15.1
318,2021-01-30,"BANQIAO,板橋",23.2,14.6,18.1
319,2021-01-31,"BANQIAO,板橋",25.4,12.0,17.6
320,2021-02-01,"BANQIAO,板橋",25.9,12.8,17.7
321,2021-02-02,"BANQIAO,板橋",20.1,12.7,16.6
322,2021-02-03,"BANQIAO,板橋",24.1,16.0,19.0
323,2021-02-04,"BANQIAO,板橋",24.7,16.3,20.0
324,2021-02-05,"BANQIAO,板橋",27.9,16.4,20.8
325,2021-02-06,"BANQIAO,板橋",26.2,14.3,19.4
326,2021-02-07,"BANQIAO,板橋",28.5,14.5,20.8
327,2021-02-08,"BANQIAO,板橋",21.1,16.9,19.3
328,2021-02-09,"BANQIAO,板橋",18.3,16.0,17.3
329,2021-02-10,"BANQIAO,板橋",26.6,18.1,21.2
330,2021-02-11,"BANQIAO,板橋",21.5,17.0,18.8
331,2021-02-12,"BANQIAO,板橋",24.5,17.6,19.9
332,2021-02-13,"BANQIAO,板橋",22.0,17.7,19.1
333,2021-02-14,"BANQIAO,板橋",23.4,15.4,18.4
334,2021-02-15,"BANQIAO,板橋",24.7,13.1,18.6
335,2021-02-16,"BANQIAO,板橋",26.7,17.6,20.6
336,2021-02-17,"BANQIAO,板橋",17.9,13.4,15.5
337,2021-02-18,"BANQIAO,板橋",18.5,12.0,14.4
338,2021-02-19,"BANQIAO,板橋",21.5,11.4,15.3
339,2021-02-20,"BANQIAO,板橋",24.7,9.7,16.1
340,2021-02-21,"BANQIAO,板橋",25.8,10.9,17.2
341,2021-02-22,"BANQIAO,板橋",28.1,12.1,18.7
342,2021-02-23,"BANQIAO,板橋",28.0,14.3,20.9
343,2021-02-24,"BANQIAO,板橋",29.0,20.1,23.4
344,2021-02-25,"BANQIAO,板橋",29.5,18.7,22.5
345,2021-02-26,"BANQIAO,板橋",25.7,18.3,20.5
346,2021-02-27,"BANQIAO,板橋",18.2,15.8,16.8
347,2021-02-28,"BANQIAO,板橋",20.8,16.1,17.8
348,2021-03-01,"BANQIAO,板橋",28.2,16.0,21.2
349,2021-03-02,"BANQIAO,板橋",21.4,14.4,16.3
350,2021-03-03,"BANQIAO,板橋",18.1,14.8,17.0
351,2021-03-04,"BANQIAO,板橋",21.7,16.1,17.8
352,2021-03-05,"BANQIAO,板橋",24.6,17.3,20.7
353,2021-03-06,"BANQIAO,板橋",20.7,15.1,18.0
354,2021-03-07,"BANQIAO,板橋",19.7,16.7,17.8
355,2021-03-08,"BANQIAO,板橋",19.3,17.1,18.1
356,2021-03-09,"BANQIAO,板橋",24.5,17.8,20.0
357,2021-03-10,"BANQIAO,板橋",21.8,17.9,19.4
358,2021-03-11,"BANQIAO,板橋",27.7,18.6,21.7
359,2021-03-12,"BANQIAO,板橋",24.3,17.9,20.1
360,2021-03-13,"BANQIAO,板橋",22.4,17.7,19.1
361,2021-03-14,"BANQIAO,板橋",24.3,18.4,20.6
362,2021-03-15,"BANQIAO,板橋",29.1,16.1,21.7
363,2021-03-16,"BANQIAO,板橋",30.0,17.2,22.8
364,2021-03-17,"BANQIAO,板橋",25.7,18.5,21.8
365,2021-03-18,"BANQIAO,板橋",25.6,19.0,21.5
366,2020-03-18,"TAMSUI,淡水",22.3,16.6,19.1
367,2020-03-19,"TAMSUI,淡水",22.3,18.3,19.7
368,2020-03-20,"TAMSUI,淡水",25.7,17.1,21.4
369,2020-03-21,"TAMSUI,淡水",26.5,18.6,22.3
370,2020-03-22,"TAMSUI,淡水",30.1,20.2,24.3
371,2020-03-23,"TAMSUI,淡水",22.7,17.6,20.9
372,2020-03-24,"TAMSUI,淡水",26.6,17.1,21.8
373,2020-03-25,"TAMSUI,淡水",28.0,21.1,23.3
374,2020-03-26,"TAMSUI,淡水",30.8,20.8,24.9
375,2020-03-27,"TAMSUI,淡水",29.5,21.2,24.5
376,2020-03-28,"TAMSUI,淡水",21.7,13.3,17.0
377,2020-03-29,"TAMSUI,淡水",21.3,13.6,17.4
378,2020-03-30,"TAMSUI,淡水",21.9,17.5,19.0
379,2020-03-31,"TAMSUI,淡水",25.2,17.5,20.4
380,2020-04-01,"TAMSUI,淡水",20.5,16.1,17.2
381,2020-04-02,"TAMSUI,淡水",23.1,15.3,18.2
382,2020-04-03,"TAMSUI,淡水",24.6,17.2,19.1
383,2020-04-04,"TAMSUI,淡水",18.1,16.5,17.3
384,2020-04-05,"TAMSUI,淡水",19.1,14.9,17.0
385,2020-04-06,"TAMSUI,淡水",21.6,15.3,17.7
386,2020-04-07,"TAMSUI,淡水",17.1,15.0,16.1
387,2020-04-08,"TAMSUI,淡水",19.6,15.9,18.0
388,2020-04-09,"TAMSUI,淡水",23.9,16.5,19.6
389,2020-04-10,"TAMSUI,淡水",27.6,16.1,22.5
390,2020-04-11,"TAMSUI,淡水",23.7,17.0,19.8
391,2020-04-12,"TAMSUI,淡水",18.6,11.3,14.8
392,2020-04-13,"TAMSUI,淡水",22.2,9.7,15.9
393,2020-04-14,"TAMSUI,淡水",25.7,12.6,19.8
394,2020-04-15,"TAMSUI,淡水",23.6,16.5,19.3
395,2020-04-16,"TAMSUI,淡水",28.6,15.6,21.7
396,2020-04-17,"TAMSUI,淡水",26.9,18.1,22.5
397,2020-04-18,"TAMSUI,淡水",28.4,19.3,24.0
398,2020-04-19,"TAMSUI,淡水",27.6,22.1,24.3
399,2020-04-20,"TAMSUI,淡水",28.1,21.9,24.5
400,2020-04-21,"TAMSUI,淡水",25.7,19.2,21.9
401,2020-04-22,"TAMSUI,淡水",22.9,17.6,18.7
402,2020-04-23,"TAMSUI,淡水",22.0,15.2,17.6
403,2020-04-24,"TAMSUI,淡水",20.0,15.1,17.3
404,2020-04-25,"TAMSUI,淡水",22.8,18.9,20.5
405,2020-04-26,"TAMSUI,淡水",24.6,18.5,21.0
406,2020-04-27,"TAMSUI,淡水",25.3,19.3,22.6
407,2020-04-28,"TAMSUI,淡水",28.2,18.7,23.7
408,2020-04-29,"TAMSUI,淡水",30.5,22.6,25.4
409,2020-04-30,"TAMSUI,淡水",29.1,19.6,24.6
410,2020-05-01,"TAMSUI,淡水",28.6,21.0,24.4
411,2020-05-02,"TAMSUI,淡水",30.0,22.7,25.6
412,2020-05-03,"TAMSUI,淡水",29.8,23.1,26.1
413,2020-05-04,"TAMSUI,淡水",30.4,24.7,26.9
414,2020-05-05,"TAMSUI,淡水",31.8,24.2,27.2
415,2020-05-06,"TAMSUI,淡水",28.8,22.8,26.2
416,2020-05-07,"TAMSUI,淡水",28.1,22.1,25.1
417,2020-05-08,"TAMSUI,淡水",31.6,24.3,27.5
418,2020-05-09,"TAMSUI,淡水",34.2,24.9,29.1
419,2020-05-10,"TAMSUI,淡水",32.2,25.3,28.0
420,2020-05-11,"TAMSUI,淡水",28.3,23.2,25.3
